Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
PB 5723,00 05 47.5,02 03 02,0.234,16.3,0.,0.394,QSO radio quiet
BG CFH 17,00 05 49.1,-00 34 37,1.650,18.7,56.,0.000,QSO radio loud flat
Q 0003-4258,00 05 53.2,-42 42 09,1.830,18.0,0.,0.000,QSO radio quiet
BG CFH 18,00 05 55.0,-00 27 05,1.680,19.8,0.,0.000,QSO radio quiet
S40003+380,00 05 57.1,38 20 15,0.229,19.4,504.,0.091,QSO radio loud flat
S4 0003+38,00 05 58.1,38 20 15,0.229,18.9,504.,0.091,QSO radio loud flat
PB 5725,00 05 57.2,00 28 38,0.259,17.6,0.,0.000,Galaxy unbarred
PKS 0003+15,00 05 59.3,16 09 49,0.450,16.4,340.,0.614,QSO radio loud steep
EXO 0003.4+2014,00 05 59.9,20 31 11,0.388,17.8,0.,0.247,QSO radio quiet
BG CFH 19,00 06 02.2,-00 54 00,1.870,18.5,0.,0.000,QSO radio quiet
Q 0003-012C,00 06 12.6,-00 59 23,1.560,17.7,0.,0.000,QSO radio quiet
Q 0003-4253,00 06 11.8,-42 36 32,1.850,19.3,0.,0.000,QSO radio quiet
1Jy0003-066,00 06 13.8,-06 23 35,0.347,18.5,1480.,0.204,QSO radio loud flat
MARK  335,00 06 19.5,20 12 11,0.025,13.9,3.,5.548,Seyfert type 1
Q 0003-4302,00 06 19.6,-42 45 19,1.860,18.1,111.,0.000,QSO radio loud
3C2,00 06 22.4,-00 04 24,1.037,19.4,1413.,0.000,QSO radio loud steep
1Jy0003-003,00 06 22.5,-00 04 23,1.037,19.3,1390.,0.000,QSO radio loud steep
3C   2.0,00 06 22.6,-00 04 25,1.037,19.4,1413.,0.000,QSO radio loud steep
Q 0003-4235,00 06 27.6,-42 18 22,0.940,18.1,0.,0.000,QSO radio quiet
BG CFH 20,00 06 36.0,-00 33 20,2.240,21.1,0.,0.000,QSO radio quiet
Q 0004-007,00 06 43.1,-00 30 35,2.290,18.2,0.,0.000,QSO radio quiet
PB 5737,00 06 43.5,02 47 15,2.350,18.7,0.,0.000,QSO radio quiet
TEX 0004+171,00 06 47.3,17 28 14,2.898,18.7,116.,0.000,QSO radio loud flat
Q 0004+0215,00 06 48.1,02 31 57,0.148,20.5,0.,0.000,Galaxy unbarred
PB 5739,00 06 54.1,-00 15 34,1.720,18.1,0.,0.000,QSO radio quiet
PB 5741,00 07 01.3,00 22 42,0.886,17.5,0.,0.000,QSO radio quiet
Q 0004-016B,00 07 09.9,-01 21 04,3.090,18.2,0.,0.000,QSO radio quiet
UM 200,00 07 10.0,00 53 29,0.317,17.5,1.,0.169,QSO radio quiet
Q 0004-4051,00 07 12.6,-40 34 11,2.090,18.1,0.,0.000,QSO radio quiet
A15.05,00 07 19.4,-33 15 17,2.030,18.3,0.,0.000,QSO radio quiet
Q 0004-019,00 07 22.1,-01 41 12,2.220,19.2,0.,0.000,QSO radio quiet
Q 0004+0147,00 07 22.5,02 04 12,1.710,17.8,0.,0.000,QSO radio quiet
