Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
Q 0057-3516,01 00 09.2,-35 00 13,2.050,18.7,0.,0.000,QSO radio quiet
Q 0057-4209,01 00 07.0,-41 53 13,1.810,20.0,0.,0.000,QSO radio quiet
Q 0057-3708,01 00 09.8,-36 52 06,2.170,20.2,0.,0.000,QSO radio quiet
Q 0057-4220,01 00 07.3,-42 04 12,2.020,19.3,0.,0.000,QSO radio quiet
Q 0057-302,01 00 14.1,-30 00 27,2.900,18.6,0.,0.000,QSO radio quiet
SGP P,01 00 15.0,-28 35 25,2.430,18.7,0.,0.000,QSO radio quiet
CS 142,01 00 16.0,-28 04 53,2.300,19.5,0.,0.000,QSO radio quiet
UM  81,01 00 26.8,04 39 41,0.530,16.7,0.,0.000,QSO radio quiet
HBQS0057-35,01 00 13.3,-35 33 57,1.587,17.9,0.,0.000,QSO radio quiet
Q 0057-3550,01 00 13.4,-35 33 56,1.587,17.9,0.,0.000,QSO radio quiet
Q 0057-2555,01 00 18.4,-25 39 07,2.550,20.1,0.,0.000,QSO radio quiet
Q 0057-2729,01 00 21.5,-27 13 37,1.203,18.2,0.,0.006,QSO radio quiet
HBQS0057-42,01 00 14.9,-42 03 39,0.672,17.6,0.,0.000,QSO radio quiet
HBQS0057-27,01 00 21.5,-27 13 36,1.203,18.2,0.,0.006,QSO radio quiet
Q 0057-4219,01 00 15.0,-42 03 40,0.672,17.6,0.,0.000,QSO radio quiet
Q 0057-3502A,01 00 20.4,-34 45 55,2.640,20.6,0.,0.000,QSO radio quiet
Q 0057-2811,01 00 23.8,-27 55 45,2.120,20.2,0.,0.000,QSO radio quiet
Q 0057-3502B,01 00 21.3,-34 46 30,1.970,19.4,0.,0.000,QSO radio quiet
CS 143,01 00 28.9,-28 47 42,2.220,18.9,0.,0.000,QSO radio quiet
HBQS0058-26,01 00 30.5,-26 02 19,0.792,17.8,0.,0.000,QSO radio quiet
Q 0058-2618,01 00 30.6,-26 02 19,0.792,17.8,0.,0.000,QSO radio quiet
Q 0058-2604,01 00 31.6,-25 48 36,2.472,18.3,0.,0.000,QSO radio quiet
HBQS0058-26,01 00 31.6,-25 48 35,2.472,18.3,0.,0.000,QSO radio quiet
Q 0058-3038,01 00 30.9,-30 22 07,2.110,18.8,0.,0.000,QSO radio quiet
HBQS0058-34,01 00 30.6,-34 06 33,1.727,17.9,0.,0.018,QSO radio quiet
Q 0058-3422,01 00 30.7,-34 06 34,1.727,17.9,0.,0.018,QSO radio quiet
Q 0058-3346,01 00 31.9,-33 29 59,2.490,18.9,0.,0.000,QSO radio quiet
Q 0058-0227,01 00 44.7,-02 11 16,2.226,18.3,0.,0.000,QSO radio quiet
Q 0058-4029,01 00 31.5,-40 13 51,0.610,18.1,0.,0.000,QSO radio quiet
HBQS0058-40,01 00 31.5,-40 13 50,0.610,18.1,0.,0.000,QSO radio quiet
HBQS0058-25,01 00 39.4,-25 38 26,0.158,16.5,0.,0.072,QSO radio quiet
CT 289,01 00 39.5,-25 38 28,0.158,16.5,0.,0.072,QSO radio quiet
HBQS0058-32,01 00 39.1,-32 14 56,1.574,17.2,0.,0.000,QSO radio quiet
Q 0058-3231,01 00 39.4,-32 14 53,1.574,17.2,0.,0.000,QSO radio quiet
PHL  938,01 00 54.1,02 11 36,1.959,17.2,0.,0.000,QSO radio quiet
Q 0058-3917,01 00 40.0,-39 01 29,2.630,19.1,0.,0.000,QSO radio quiet
Q 0058-3413,01 00 44.9,-33 57 11,0.878,18.1,0.,0.000,QSO radio quiet
HBQS0058-34,01 00 44.9,-33 57 11,0.878,18.1,0.,0.000,QSO radio quiet
Q 0058-263,01 00 49.2,-26 03 29,3.050,19.8,0.,0.000,QSO radio quiet
Q 0058+0215,01 00 58.4,02 31 32,2.868,18.6,0.,0.000,QSO radio quiet
Q 0058-290,01 00 49.0,-28 44 22,1.140,19.7,0.,0.000,QSO radio quiet
Q 0058-4035,01 00 47.1,-40 18 55,2.320,19.3,0.,0.000,QSO radio quiet
Q 0058-0244,01 01 04.2,-02 27 55,1.231,18.8,0.,0.000,QSO radio quiet
CS 147,01 00 57.1,-28 24 36,2.300,19.8,0.,0.000,QSO radio quiet
CT 294,01 00 58.6,-29 02 53,1.184,18.0,0.,0.000,QSO radio quiet
HBQS0058-29,01 00 58.6,-29 02 53,1.184,18.0,0.,0.000,QSO radio quiet
Q 0058-0236,01 01 07.7,-02 20 40,0.902,18.0,0.,0.000,QSO radio quiet
Q 0058-2907,01 00 59.8,-28 51 15,0.866,17.8,0.,0.000,QSO radio loud
Q 0058-2611,01 01 01.0,-25 55 21,2.420,20.2,0.,0.000,QSO radio quiet
HBQS0058-29,01 00 59.8,-28 51 15,0.866,17.8,0.,0.000,QSO radio loud
CS 148,01 01 04.8,-26 39 05,2.350,18.9,0.,0.000,QSO radio quiet
Q 0058-292,01 01 04.7,-28 58 03,3.093,18.7,0.,0.000,QSO radio quiet
CT 295,01 01 05.7,-28 14 52,1.001,18.4,0.,0.000,QSO radio quiet
HBQS0058-28,01 01 05.8,-28 14 52,1.001,18.4,0.,0.000,QSO radio quiet
CS 149,01 01 06.5,-29 07 59,1.620,20.3,0.,0.000,QSO radio quiet
CS 150,01 01 08.5,-26 27 21,2.900,18.7,0.,0.000,QSO radio quiet
UM  82,01 01 20.5,06 54 51,0.051,16.1,0.,0.000,Seyfert type 2
Q 0058+0218,01 01 20.1,02 34 30,0.929,17.4,0.,0.000,QSO radio quiet
Q 0058-0228,01 01 22.9,-02 12 47,1.691,17.9,0.,0.000,QSO radio quiet
Q 0058-3408,01 01 12.1,-33 52 18,2.180,20.8,0.,0.000,QSO radio quiet
0058-351,01 01 15.9,-34 55 40,0.320,18.5,0.,0.000,Galaxy unbarred
Q 0058+0121,01 01 28.8,01 37 45,1.432,17.3,0.,0.000,QSO radio quiet
CS 151,01 01 22.5,-26 49 34,1.889,18.9,0.,0.000,QSO radio quiet
Q 0058+0205,01 01 33.9,02 21 54,0.600,18.2,0.,0.000,QSO radio quiet
Q 0059-287,01 01 26.0,-28 29 36,3.720,19.1,0.,0.000,QSO radio quiet
Q 0059+0147,01 01 36.5,02 03 11,1.143,17.7,0.,0.000,QSO radio quiet
Q 0059-304A,01 01 30.2,-30 09 45,2.170,19.3,0.,0.057,QSO radio quiet
CT 298,01 01 32.9,-27 12 55,0.188,17.5,0.,0.021,Galaxy unbarred
HBQS0059-27,01 01 32.9,-27 12 55,0.188,17.5,0.,0.021,Galaxy unbarred
Q 0059-0207,01 01 42.3,-01 51 52,2.290,18.1,0.,0.000,QSO radio quiet
CT 299,01 01 34.8,-28 37 31,0.620,17.9,0.,0.000,QSO radio quiet
HBQS0059-28,01 01 34.8,-28 37 31,0.620,17.9,0.,0.000,QSO radio quiet
Q 0059-3716,01 01 32.4,-37 00 31,2.200,19.2,0.,0.000,QSO radio quiet
Q 0059-4139,01 01 30.4,-41 22 57,2.330,19.7,0.,0.000,QSO radio quiet
Q 0059-2848,01 01 36.4,-28 32 35,2.000,19.0,0.,0.000,QSO radio quiet
Q 0059-3652,01 01 33.9,-36 36 33,1.440,20.0,0.,0.000,QSO radio quiet
Q 0059-4202,01 01 31.5,-41 46 49,2.200,19.2,0.,0.000,QSO radio quiet
Q 0059-2525,01 01 40.5,-25 08 58,0.454,17.3,0.,0.000,QSO radio quiet
SGP A,01 01 39.5,-29 27 41,2.210,19.8,0.,0.000,QSO radio quiet
Q 0059+0004,01 01 51.1,00 20 28,0.323,18.1,0.,0.000,Galaxy unbarred
Q 0059-3333,01 01 40.4,-33 17 13,1.470,17.8,0.,0.000,QSO radio quiet
Q 0059-4127,01 01 39.3,-41 11 00,2.160,19.8,0.,0.000,QSO radio quiet
Q 0059-2545,01 01 46.8,-25 29 52,1.955,18.2,0.,0.000,QSO radio quiet
CS 158,01 01 52.8,-26 09 01,2.109,18.3,0.,0.000,QSO radio quiet
HBQS0059-26,01 01 52.8,-26 08 59,2.109,18.3,0.,0.000,QSO radio quiet
Q 0059-3404,01 01 52.4,-33 48 49,1.990,19.5,0.,0.000,QSO radio quiet
Q 0059-361,01 01 52.1,-35 50 01,0.901,18.5,0.,0.000,QSO radio quiet
Q 0059-0206,01 02 05.6,-01 50 39,1.321,17.7,0.,0.000,QSO radio quiet
Q 0059-3430,01 01 57.1,-34 14 04,0.427,18.5,0.,0.038,QSO radio quiet
0059-3456,01 01 57.6,-34 17 18,1.623,19.5,0.,0.000,QSO radio quiet
0059-370,01 01 56.5,-36 43 55,2.210,17.2,0.,0.000,QSO radio quiet
Q 0059-3034,01 02 00.6,-30 18 27,1.033,16.7,0.,0.037,QSO radio loud
HBQS0059-30,01 02 00.6,-30 18 28,1.033,16.7,0.,0.037,QSO radio loud
Q 0059-2702A,01 02 03.6,-26 46 07,0.940,19.9,0.,0.011,QSO radio quiet
Q 0059-2702B,01 02 04.2,-26 46 00,0.940,18.5,0.,0.011,QSO radio quiet
Q 0059-4110,01 01 59.2,-40 53 52,1.963,17.4,0.,0.000,QSO radio quiet
HBQS0059-41,01 01 59.3,-40 53 51,1.963,17.4,0.,0.000,QSO radio quiet
Q 0059-2639,01 02 13.7,-26 23 48,0.220,17.7,0.,0.000,QSO radio quiet
Q 0059-2948,01 02 13.0,-29 32 10,2.130,18.9,0.,0.000,QSO radio quiet
ESO 541-IG12,01 02 17.4,-19 40 08,0.060,15.6,1.,0.000,Seyfert type 2
CT 309,01 02 14.1,-29 30 12,1.076,17.5,0.,0.000,QSO radio quiet
HBQS0059-29,01 02 14.1,-29 30 13,1.076,17.5,0.,0.000,QSO radio quiet
Q 0059-304B,01 02 14.6,-30 07 55,3.240,19.5,0.,0.000,QSO radio quiet
Q 0059-2735,01 02 17.0,-27 19 50,1.595,17.6,0.,0.000,QSO radio quiet
Q 0059+0035,01 02 27.5,00 51 38,2.545,18.2,0.,0.000,QSO radio quiet
Q 0059-2940,01 02 17.6,-29 24 24,2.130,19.7,0.,0.000,QSO radio quiet
HBQS0059-26,01 02 21.9,-26 41 46,2.266,18.4,0.,0.000,QSO radio quiet
Q 0059-2824,01 02 21.4,-28 08 35,2.970,20.4,0.,0.000,QSO radio quiet
CS 160,01 02 22.0,-26 41 46,2.266,18.4,0.,0.000,QSO radio quiet
CS 161,01 02 26.6,-27 48 06,2.310,20.4,0.,0.000,QSO radio quiet
0100-345,01 02 26.4,-34 14 46,2.040,0.0,0.,0.024,QSO
Q 0100-3648,01 02 28.1,-36 32 07,1.310,18.2,0.,0.000,QSO radio quiet
0100-327,01 02 30.8,-32 29 57,1.440,0.0,0.,0.000,QSO
0100-334,01 02 30.7,-33 10 02,2.260,0.0,0.,0.000,QSO
Q 0100-367,01 02 29.6,-36 30 53,1.396,17.9,0.,0.000,QSO radio quiet
Q 0100-3639,01 02 30.1,-36 23 51,0.640,19.5,0.,0.000,QSO radio quiet
HBQS0100-41,01 02 31.0,-40 46 55,1.032,18.1,0.,0.000,unidentified
Q 0100-4103,01 02 31.1,-40 46 55,1.032,18.1,0.,0.000,unidentified
CS 163,01 02 39.8,-28 54 14,2.380,18.7,0.,0.000,QSO radio quiet
0100-3662,01 02 39.0,-36 20 47,0.800,0.0,0.,0.000,QSO
IRAS 01003-2238,01 02 49.2,-22 22 03,0.118,0.0,0.,0.000,Seyfert type 2
Q 0100-283A,01 02 49.5,-28 05 26,2.640,19.3,0.,0.000,QSO radio quiet
Q 0100-4244,01 02 43.2,-42 28 00,2.030,19.8,0.,0.000,QSO radio quiet
CT 315,01 02 51.8,-27 53 04,1.768,17.8,0.,0.000,QSO radio quiet
,01 03 04.8,11 06 46,0.144,17.5,30.,0.000,Radio Galaxy radio l
HBQS0100-28,01 02 51.9,-27 53 03,1.768,17.8,0.,0.000,QSO radio quiet
Q 0100-3612,01 02 48.6,-35 56 42,1.310,20.1,0.,0.000,QSO radio quiet
Q 0100-4045,01 02 47.1,-40 29 33,2.030,20.0,0.,0.000,QSO radio quiet
UM 668,01 02 57.0,-18 45 50,1.970,18.5,0.,0.000,QSO radio quiet
Q 0100-3831,01 02 49.1,-38 14 59,1.870,20.4,0.,0.000,QSO radio quiet
0100-346,01 02 52.1,-34 25 17,0.800,0.0,0.,0.000,QSO
Q 0100+0228,01 03 05.5,02 44 11,1.543,18.1,0.,0.000,QSO radio quiet
PKS 0100-270,01 02 56.3,-26 46 37,1.597,17.5,240.,0.045,QSO radio loud flat
HBQS0100-27,01 02 56.4,-26 46 36,1.597,17.5,240.,0.045,QSO radio loud flat
CS 164,01 02 56.5,-28 53 14,1.220,18.8,0.,0.000,QSO radio quiet
SGP W,01 02 57.4,-27 53 39,1.800,19.0,0.,0.000,QSO radio quiet
Q 0100-292,01 02 57.0,-28 56 42,2.760,20.1,0.,0.000,QSO radio quiet
Q 0100-261,01 02 58.2,-25 54 27,2.540,18.4,0.,0.000,QSO radio quiet
PHL  957,01 03 11.3,13 16 17,2.686,16.6,0.,0.000,QSO radio quiet
Q 0100+0146,01 03 08.4,02 02 20,1.909,18.2,0.,0.000,QSO radio quiet
Q 0100-3759,01 02 54.4,-37 43 14,1.690,19.5,0.,0.000,QSO radio quiet
Q 0100-27,01 02 59.8,-27 23 43,1.418,18.9,0.,0.003,QSO radio quiet
Q 0100-3955,01 02 56.5,-39 38 59,2.500,19.2,0.,0.000,QSO radio quiet
Q 0100-2848,01 03 01.9,-28 32 25,2.660,18.0,0.,0.000,QSO radio quiet
UM 301,01 03 13.0,02 21 10,0.393,16.4,0.,0.081,QSO radio quiet
0100-344,01 03 01.3,-34 12 50,1.380,0.0,0.,0.000,QSO
Q 0100-3105,01 03 02.8,-30 49 38,2.641,18.0,0.,0.000,QSO radio quiet
Q 0100+0122,01 03 14.7,01 38 42,0.197,20.1,0.,0.000,Galaxy unbarred
0100-335,01 03 03.7,-33 14 14,1.420,0.0,0.,0.000,QSO
Q 0100-283B,01 03 06.6,-28 03 16,3.700,19.9,0.,0.000,QSO radio quiet
Q 0100-3544,01 03 04.9,-35 28 31,2.020,20.1,0.,0.000,QSO radio quiet
0100-351,01 03 07.3,-34 50 20,1.413,19.0,0.,0.000,QSO radio quiet
B16.09,01 03 04.4,-42 04 00,1.895,16.9,0.,0.000,QSO radio quiet
HBQS0100-30,01 03 10.3,-30 14 48,0.940,18.4,0.,0.000,QSO radio quiet
Q 0100-3030,01 03 10.4,-30 14 48,0.940,18.4,0.,0.000,QSO radio quiet
HBQS0100-42,01 03 05.0,-42 04 06,1.895,16.9,0.,0.000,QSO radio quiet
Q 0100+0106,01 03 23.9,01 22 12,1.405,18.2,0.,0.000,QSO radio quiet
CT 323,01 03 14.7,-28 41 22,1.226,18.6,0.,0.000,QSO radio quiet
0100-338,01 03 13.1,-33 34 23,2.260,19.6,0.,0.000,QSO radio quiet
HBQS0100-26,01 03 16.8,-26 33 50,0.156,17.1,0.,0.000,Starburst galaxy
PKS 0101-76,01 02 18.3,-75 46 50,1.017,17.6,550.,0.000,QSO radio loud flat
Q 0101+0024,01 03 29.4,00 40 54,1.436,18.6,61.,0.000,QSO radio loud steep
PHL  964,01 03 33.5,10 10 34,0.465,18.2,0.,0.000,QSO radio quiet
CS 168,01 03 24.2,-29 01 46,1.310,19.6,0.,0.000,QSO radio quiet
Q 0101-2708,01 03 26.4,-26 52 44,0.558,18.3,0.,0.062,QSO radio quiet
HBQS0101-27,01 03 26.4,-26 52 44,0.558,18.3,0.,0.062,QSO radio quiet
0101-351,01 03 23.4,-34 52 05,0.380,18.9,0.,0.000,Galaxy unbarred
Q 0101-3630,01 03 24.6,-36 13 59,2.100,20.2,0.,0.000,QSO radio quiet
Q 0101-299,01 03 27.6,-29 42 50,0.760,19.2,0.,0.000,QSO radio quiet
Q 0101-2548,01 03 33.3,-25 32 28,1.973,18.3,0.,0.000,QSO radio quiet
HBQS0101-25,01 03 33.4,-25 32 25,1.973,18.3,0.,0.000,QSO radio quiet
Q 0101+0009,01 03 42.8,00 25 37,0.394,17.1,0.,0.000,QSO radio quiet
Q 0101-304,01 03 37.4,-30 09 01,4.073,20.1,0.,0.000,QSO radio quiet
Q 0101-3622,01 03 35.8,-36 05 56,2.180,20.0,0.,0.000,QSO radio quiet
,01 03 40.5,-26 37 23,3.500,18.1,0.,0.000,QSO radio quiet
Q 0101-2915,01 03 42.0,-28 59 36,2.380,19.1,0.,0.000,QSO radio quiet
Q 0101-3631,01 03 40.3,-36 15 49,1.960,20.4,0.,0.000,QSO radio quiet
Q 0101-3602,01 03 41.5,-35 46 17,1.570,17.7,0.,0.000,QSO radio quiet
0101-339,01 03 43.6,-33 39 23,2.260,18.9,0.,0.000,QSO radio quiet
HBQS0101-26,01 03 48.8,-25 54 59,0.277,17.6,0.,0.150,QSO radio quiet
Q 0101-2611,01 03 48.9,-25 55 00,0.277,17.6,0.,0.150,QSO radio quiet
HBQS0101-40,01 03 46.6,-40 43 00,0.363,18.1,0.,0.000,QSO radio quiet
Q 0101-4059,01 03 46.8,-40 43 00,0.363,18.1,0.,0.000,QSO radio quiet
Q 0101-0028,01 04 03.2,-00 12 53,0.083,18.1,0.,0.000,Galaxy unbarred
Q 0101-3958,01 03 50.2,-39 42 31,1.120,18.7,0.,0.000,QSO radio quiet
Q 0101-3025,01 03 55.2,-30 09 47,3.150,17.9,0.,0.000,QSO radio quiet
MARK  971,01 04 19.5,35 34 12,0.085,15.9,0.,0.000,Starburst galaxy
Q 0101-0124,01 04 10.8,-01 08 48,0.211,18.3,0.,0.000,QSO radio quiet
CS 176,01 04 03.5,-29 43 53,1.320,19.8,0.,0.000,QSO radio quiet
PKS 0101-025,01 04 17.2,-02 15 39,2.050,18.7,120.,0.000,QSO radio loud steep
0101-324,01 04 06.5,-32 11 22,1.600,18.7,0.,0.000,QSO radio quiet
Q 0101-4251,01 04 04.3,-42 35 32,1.410,19.4,0.,0.000,QSO radio quiet
Q 0101-4129,01 04 05.1,-41 13 51,2.060,19.8,0.,0.000,QSO radio quiet
Q 0101+0118,01 04 21.8,01 34 49,1.133,18.3,0.,0.000,QSO radio quiet
Q 0101-3826,01 04 09.9,-38 10 13,2.110,19.7,0.,0.000,QSO radio quiet
0101-353,01 04 14.1,-35 05 12,2.200,17.0,0.,0.000,QSO radio quiet
0101-337,01 04 18.8,-33 31 01,2.210,0.0,0.,0.000,QSO
Q 0101-0130,01 04 30.5,-01 14 31,1.156,18.2,0.,0.000,QSO radio quiet
Q 0102-265,01 04 25.3,-26 14 59,1.240,19.3,0.,0.000,QSO radio quiet
Q 0102-277,01 04 28.0,-27 26 29,1.850,20.3,0.,0.013,QSO radio quiet
Q 0102-285,01 04 28.6,-28 19 32,2.630,18.8,0.,0.000,QSO radio quiet
Q 0102-3336,01 04 28.1,-33 20 15,2.210,18.7,0.,0.000,QSO radio quiet
0102-373,01 04 35.2,-37 04 24,0.240,18.8,0.,0.000,Galaxy unbarred
Q 0102-3719,01 04 35.5,-37 03 29,1.930,18.8,0.,0.000,QSO radio quiet
CT 336,01 04 41.0,-26 57 08,0.780,17.1,0.,0.018,QSO radio quiet
HBQS0102-27,01 04 41.0,-26 57 07,0.780,17.1,0.,0.018,QSO radio quiet
Q 0102-3219,01 04 39.7,-32 03 18,2.530,20.0,0.,0.000,QSO radio quiet
0102-335,01 04 39.2,-33 14 51,0.380,18.8,150.,0.000,Radio Galaxy radio l
Q 0102-4238,01 04 34.8,-42 22 07,2.330,18.2,0.,0.000,QSO radio quiet
Q 0102-3352,01 04 39.5,-33 36 11,2.170,19.8,0.,0.000,QSO radio quiet
Q 0102-0147,01 04 54.1,-01 31 30,0.571,17.1,0.,0.069,QSO radio quiet
Q 0102-0240,01 04 54.2,-02 24 06,1.844,18.3,0.,0.000,QSO radio quiet
Q 0102-3430,01 04 43.7,-34 14 48,2.310,19.2,0.,0.000,QSO radio quiet
Q 0102-4009,01 04 42.8,-39 53 05,1.570,19.4,0.,0.000,QSO radio quiet
Q 0102-3009,01 04 52.2,-29 53 14,2.530,19.5,0.,0.000,QSO radio quiet
HBQS0102-39,01 04 49.1,-39 32 45,1.540,18.4,0.,0.000,QSO radio quiet
Q 0102-3948,01 04 49.2,-39 32 45,1.540,18.4,0.,0.000,QSO radio quiet
Q 0102-3710,01 04 52.9,-36 54 55,2.560,18.9,0.,0.000,QSO radio quiet
Q 0102-0106,01 05 08.2,-00 50 42,1.588,17.5,0.,0.000,QSO radio quiet
Q 0102+0036,01 05 09.3,00 52 58,0.649,18.1,0.,0.000,QSO radio quiet
Q 0102+0241,01 05 10.2,02 57 06,1.509,18.3,0.,0.000,QSO radio quiet
Q 0102-3732,01 04 57.1,-37 16 09,0.380,18.2,0.,0.000,QSO radio quiet
HBQS0102-37,01 04 57.1,-37 16 10,0.380,18.2,0.,0.000,QSO radio quiet
HBQS0102-39,01 04 57.3,-38 44 14,0.594,18.5,0.,0.000,QSO radio quiet
Q 0102-3900,01 04 57.4,-38 44 14,0.594,18.5,0.,0.000,QSO radio quiet
HBQS0102-28,01 05 02.5,-28 26 26,1.375,18.4,0.,0.000,QSO radio quiet
Q 0102-2842,01 05 02.6,-28 26 26,1.375,18.4,0.,0.000,QSO radio quiet
LMA 15,01 05 13.4,02 11 28,2.700,0.0,0.,0.000,QSO
Q 0102-293,01 05 02.8,-29 06 18,2.440,19.0,0.,0.000,QSO radio quiet
Q 0102-3858,01 05 00.4,-38 42 42,1.540,19.1,0.,0.000,QSO radio quiet
CT 338,01 05 06.0,-29 55 56,0.838,17.5,0.,0.000,QSO radio quiet
HBQS0102-30,01 05 06.2,-29 55 57,0.838,17.5,0.,0.000,QSO radio quiet
Q 0102-0214,01 05 17.1,-01 58 27,1.979,18.3,0.,0.000,QSO radio quiet
Q 0102-2559,01 05 12.2,-25 43 05,2.010,19.6,0.,0.000,QSO radio quiet
UM 669,01 05 16.8,-18 46 42,3.037,18.3,0.,0.000,QSO radio quiet
0102-340,01 05 12.9,-33 48 39,1.550,18.4,0.,0.000,QSO radio quiet
Q 0102-4125,01 05 10.0,-41 09 11,2.080,19.2,0.,0.000,QSO radio quiet
Q 0102-290,01 05 17.1,-28 47 27,1.540,18.8,0.,0.000,QSO radio quiet
Q 0102-2931,01 05 18.0,-29 15 10,2.220,19.6,0.,0.000,QSO radio quiet
S40102+480,01 05 49.9,48 19 04,0.000,0.0,982.,0.000,unidentified
CS 181,01 05 21.2,-26 18 15,1.227,17.9,0.,0.000,QSO radio quiet
CS 182,01 05 20.6,-29 25 00,2.820,19.3,0.,0.000,QSO radio quiet
0102-349,01 05 20.1,-34 38 32,1.970,19.2,0.,0.000,QSO radio quiet
HBQS0102-30,01 05 22.5,-29 58 49,0.533,18.0,0.,0.008,QSO radio quiet
Q 0102-3014,01 05 22.6,-29 58 50,0.533,18.0,0.,0.008,QSO radio quiet
Q 0103-263,01 05 26.6,-26 02 28,3.070,20.3,0.,0.000,QSO radio quiet
CS 183,01 05 26.2,-28 49 50,2.230,19.3,0.,0.000,QSO radio quiet
Q 0103+0234,01 05 37.8,02 50 59,1.700,17.7,0.,0.000,QSO radio quiet
CS 184,01 05 27.4,-27 22 35,1.970,19.1,0.,0.000,QSO radio quiet
Q 0103-301,01 05 26.4,-29 52 07,3.120,19.9,0.,0.000,QSO radio quiet
Q 0103-0141,01 05 40.3,-01 24 57,2.206,18.2,0.,0.000,QSO radio quiet
CS 186,01 05 32.1,-26 51 34,2.180,18.7,0.,0.000,QSO radio quiet
Q 0103+0024,01 05 43.5,00 40 04,1.075,17.1,0.,0.064,QSO radio quiet
Q 0103-4032,01 05 28.3,-40 16 38,2.180,19.7,0.,0.000,QSO radio quiet
CT 344,01 05 34.7,-27 36 59,0.848,17.8,0.,0.000,QSO radio quiet
SGP I,01 05 34.7,-29 09 17,2.180,19.1,0.,0.000,QSO radio quiet
Q 0103-4052,01 05 31.7,-40 36 21,2.120,19.8,0.,0.000,QSO radio quiet
SGP J,01 05 38.3,-29 11 06,2.170,19.4,170.,0.000,QSO radio loud flat
0103-323,01 05 38.2,-32 06 55,2.300,18.7,0.,0.000,QSO radio quiet
Q 0103-3812,01 05 36.7,-37 56 22,1.770,18.9,0.,0.000,QSO radio quiet
Q 0103-3934,01 05 36.1,-39 18 15,2.360,18.5,0.,0.000,QSO radio quiet
HBQS0103-41,01 05 37.5,-41 17 57,0.778,17.9,0.,0.000,QSO radio quiet
Q 0103-4134,01 05 37.6,-41 17 57,0.778,17.9,0.,0.000,QSO radio quiet
PC 0103+0123,01 05 56.1,01 39 30,3.066,19.4,0.,0.000,QSO radio quiet
Q 0103-2822,01 05 52.1,-28 06 39,1.880,19.3,0.,0.000,QSO radio quiet
Q 0103-4011,01 05 46.7,-39 55 22,2.150,19.9,0.,0.000,QSO radio quiet
Q 0103+0215,01 06 03.3,02 31 50,0.066,19.0,0.,0.000,Galaxy unbarred
0103-341,01 05 50.5,-33 51 34,1.810,17.9,0.,0.000,QSO radio quiet
Q 0103+0123,01 06 04.7,01 39 08,0.782,18.5,0.,0.000,QSO radio quiet
Q 0103-290,01 05 56.5,-28 45 29,2.870,18.2,0.,0.000,QSO radio quiet
Q 0103-2622,01 05 58.9,-26 06 22,0.776,16.6,0.,0.059,QSO radio quiet
A18.10,01 05 54.7,-35 56 03,0.000,15.8,0.,0.075,Seyfert type 1
Q 0103-4238,01 05 54.0,-42 22 46,1.810,19.9,0.,0.000,QSO radio quiet
Q 0103-294,01 06 02.8,-29 08 59,3.110,20.2,0.,0.000,QSO radio quiet
Q 0103-260,01 06 04.3,-25 46 53,3.360,18.8,0.,0.000,QSO radio quiet
Q 0103-3739,01 06 03.8,-37 23 28,2.920,19.8,0.,0.000,QSO radio quiet
Q 0103-3739,01 06 03.9,-37 23 29,2.910,20.2,0.,0.000,QSO radio quiet
Q 0103+0104,01 06 19.2,01 20 19,0.256,17.7,0.,0.000,Seyfert type 1
BR 0103+00,01 06 19.3,00 48 23,4.433,18.4,0.,0.000,QSO radio quiet
PKS 0103-021,01 06 23.0,-01 55 40,2.201,18.7,360.,0.000,QSO radio loud flat
Q 0103-2552,01 06 15.4,-25 36 19,2.510,19.5,0.,0.000,QSO radio quiet
Q 0103-3921,01 06 12.0,-39 05 11,2.350,19.4,0.,0.000,QSO radio quiet
Q 0103-29,01 06 17.7,-28 57 04,2.803,18.4,0.,0.000,QSO radio quiet
0103-360,01 06 15.1,-35 44 59,1.930,19.3,0.,0.000,QSO radio quiet
Q 0103-0014,01 06 29.6,00 01 22,1.629,18.2,0.,0.000,QSO radio quiet
Q 0103-2749,01 06 21.2,-27 33 50,1.018,18.0,0.,0.000,QSO radio quiet
Q 0103-3456,01 06 20.6,-34 40 24,1.550,20.2,0.,0.000,QSO radio quiet
0104-321,01 06 24.0,-31 53 19,1.700,18.7,0.,0.000,QSO radio quiet
PKS 0104-275,01 06 26.1,-27 18 12,2.492,18.7,370.,0.000,QSO radio loud flat
Q 0104+0001,01 06 36.5,00 17 14,0.910,18.0,0.,0.000,QSO radio quiet
Q 0104-284,01 06 27.3,-28 13 06,1.310,20.1,0.,0.000,QSO radio quiet
UM  85,01 06 45.2,06 38 02,0.041,16.1,0.,0.000,Seyfert type 2
CS 198,01 06 37.1,-27 12 57,1.910,19.5,0.,0.000,QSO radio quiet
MS 01042+3153,01 06 58.8,32 09 18,2.027,18.9,0.,0.091,QSO radio quiet
Q 0104+0030,01 06 48.1,00 46 27,1.874,18.2,0.,0.000,QSO radio quiet
PC 0104+0215,01 06 49.7,02 31 01,4.171,19.4,0.,0.000,QSO radio quiet
CS 199,01 06 38.9,-27 53 55,1.574,18.2,0.,0.000,QSO radio quiet
CS 200,01 06 45.4,-26 52 24,2.080,20.2,0.,0.000,QSO radio quiet
CS 201,01 06 47.2,-26 19 02,1.890,19.5,0.,0.000,QSO radio quiet
